Page,Link,"Status Code",Type
http://www.zappos.com/shoes,/d/shoes#next,200,AOK
http://www.zappos.com/shoes,/dress-shoes~1,200,AOK
http://www.zappos.com/shoes,/womens-dress-shoes~2,200,AOK
http://www.zappos.com/shoes,/mens-dress-shoes~2,200,AOK
http://www.zappos.com/shoes,/casual-shoes~1,200,AOK
http://www.zappos.com/shoes,/womens-casual-shoes~2,200,AOK
http://www.zappos.com/shoes,/mens-casual-shoes~2,200,AOK
http://www.zappos.com/shoes,/athletic-shoes~1,200,AOK
http://www.zappos.com/shoes,/womens-athletic-shoes~2,200,AOK
http://www.zappos.com/shoes,/mens-athletic-shoes~2,200,AOK
http://www.zappos.com/shoes,/search/shoes/filter/productTypeFacet/%22Shoes%22/personalityFacet/%22Office%20%26%20Career%22/sort/goLiveDate/desc,200,AOK
http://www.zappos.com/shoes,/search/shoes/filter/productTypeFacet/%22Shoes%22/gender/%22womens%22/personalityFacet/%22Office%20%26%20Career%22/sort/goLiveDate/desc,200,AOK
http://www.zappos.com/shoes,/search/shoes/filter/productTypeFacet/%22Shoes%22/gender/%22Mens%22/personalityFacet/%22Office%20%26%20Career%22/sort/goLiveDate/desc,200,AOK
http://www.zappos.com/shoes,/shoes-on-sale~L,200,AOK
http://www.zappos.com/shoes,/womens-shoes-on-sale~F2,200,AOK
http://www.zappos.com/shoes,/mens-shoes-on-sale~dH,200,AOK
http://www.zappos.com/shoes,/girls-shoes-on-sale~A,200,AOK
http://www.zappos.com/shoes,/boys-shoes-on-sale~u,200,AOK
http://www.zappos.com/shoes,/shoes-on-sale~L,200,AOK
http://www.zappos.com/shoes,/new-shoes~38,200,AOK
http://www.zappos.com/shoes,/new-womens-shoes~3c,200,AOK
http://www.zappos.com/shoes,/new-mens-shoes~13,200,AOK
http://www.zappos.com/shoes,/new-girls-shoes~r,200,AOK
http://www.zappos.com/shoes,/new-boys-shoes~h,200,AOK
http://www.zappos.com/shoes,/new-shoes~38,200,AOK
http://www.zappos.com/shoes,/shoes~3Y,200,AOK
http://www.zappos.com/shoes,/shoes~40,200,AOK
http://www.zappos.com/shoes,/shoes~48,200,AOK
